opponent,games,wins,losses,draws,win_rate,avg_moves,avg_captured_for,avg_captured_against
Random,40,27,13,0,0.675,36.1,30.9,27.9
MiniMax_depth1,12,0,12,0,0.000,38.5,29.0,32.0
