date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2023-02-01,1,900948,MZ01,2588.0,130.61206,72.006004,293.72488,243.59883,543.07263,550.60895,176.10582,120.16343,98.64359,final
2023-02-11,1,900948,MZ01,2588.0,74.51005,84.03947,293.1963,240.7918,614.97687,623.63525,89.29753,121.32069,98.622665,final
2023-02-21,1,900948,MZ01,2588.0,20.501932,57.470467,225.62404,213.51593,633.393,655.0765,40.82238,105.54106,96.715004,final
2023-03-01,1,900948,MZ01,2588.0,32.15649,81.81247,127.16847,223.32239,635.52246,693.1858,42.80087,57.88678,91.740974,final
2023-03-11,1,900948,MZ01,2588.0,31.906105,57.97599,84.56453,197.25893,581.6727,689.6808,58.603455,44.282116,84.452126,final
2023-03-21,1,900948,MZ01,2588.0,130.18277,69.496254,194.24536,209.28471,642.7036,680.88995,181.46251,92.9816,94.43259,final
2023-04-01,1,900948,MZ01,2588.0,68.49768,51.562508,230.58655,179.03474,651.47986,645.956,129.94063,128.012,100.84858,final
2023-04-11,1,900948,MZ01,2588.0,40.103554,26.844437,238.784,147.9032,616.54486,585.9539,141.63716,159.43683,105.17653,final
2023-04-21,1,900948,MZ01,2588.0,20.054869,20.62545,128.6561,99.032394,548.5255,521.833,97.77338,128.47546,105.0666,final
2023-05-01,1,900948,MZ01,2588.0,5.012751,8.62518,65.17117,56.095066,422.9262,458.4522,73.48711,114.855705,92.33449,final
2023-05-11,1,900948,MZ01,2588.0,2.925425,5.202009,27.993044,34.45264,351.34158,379.61475,77.684944,83.62695,92.648964,final
2023-05-21,1,900948,MZ01,2588.0,2.846986,4.225747,10.785162,18.052937,333.6866,326.37006,85.05528,68.47354,102.20797,final
2023-06-01,1,900948,MZ01,2588.0,4.0285935,2.926906,9.801004,12.354663,305.55872,247.48448,113.89807,85.28545,123.001114,final
2023-06-11,1,900948,MZ01,2588.0,3.0691655,2.1803324,9.944745,9.332986,276.72177,191.68883,112.378716,104.268196,143.23221,final
2023-06-21,1,900948,MZ01,2588.0,3.1711748,2.1147861,10.268934,7.222025,149.7102,124.30736,114.84779,124.929665,119.645325,final
2023-07-01,1,900948,MZ01,2588.0,2.2395673,1.8695132,8.479908,6.164632,83.45209,74.614365,105.3869,120.7376,111.10066,final
2023-07-11,1,900948,MZ01,2588.0,1.5803709,1.7900051,6.9911127,5.7743044,44.9289,49.55993,96.912605,111.29362,91.51204,final
