ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Nampula,3020915,Households using rainwater,0.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431003,1431003,Region,Nampula,0,,0,1,WSSRCEHRNW,MZDHS1997431003,1997,DHS,1766,1067,,,1
MOZ,Zambézia,6430466,Households using rainwater,0.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431004,1431004,Region,Zambézia,0,,0,1,WSSRCEHRNW,MZDHS1997431004,1997,DHS,1755,1008,,,1
MOZ,Tete,6830327,Households using rainwater,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431005,1431005,Region,Tete,0,,0,1,WSSRCEHRNW,MZDHS1997431005,1997,DHS,418,670,,,1
MOZ,Manica,4858143,Households using rainwater,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431006,1431006,Region,Manica,0,,0,1,WSSRCEHRNW,MZDHS1997431006,1997,DHS,432,782,,,1
MOZ,Sofala,7485874,Households using rainwater,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431007,1431007,Region,Sofala,0,,0,1,WSSRCEHRNW,MZDHS1997431007,1997,DHS,993,941,,,1
MOZ,Inhambane,7102376,Households using rainwater,2.8,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431008,1431008,Region,Inhambane,0,,0,1,WSSRCEHRNW,MZDHS1997431008,1997,DHS,820,812,,,1
MOZ,Gaza,5819955,Households using rainwater,1.1,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431009,1431009,Region,Gaza,0,,0,1,WSSRCEHRNW,MZDHS1997431009,1997,DHS,784,826,,,1
MOZ,Maputo Provincia,1174811,Households using rainwater,0.8,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431010,1431010,Region,Maputo Provincia,0,,0,1,WSSRCEHRNW,MZDHS1997431010,1997,DHS,573,628,,,1
MOZ,Maputo Cidade,7310773,Households using rainwater,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_RNW,250161070,I,431011,1431011,Region,Maputo Cidade,0,,0,1,WSSRCEHRNW,MZDHS1997431011,1997,DHS,433,788,,,1
MOZ,Niassa,7694146,Households using tanker truck,0,1,MZ,Mozambique,1997,MZ1997DHS,WS_SRCE_H_TNK,250161074,I,431001,1431001,Region,Niassa,0,,0,1,WSSRCEHTNK,MZDHS1997431001,1997,DHS,547,900,,,1
