ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Maputo Provincia,1175354,Number of households (unweighted),628,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431010,1431010,Region,Maputo Provincia,0,,0,1,HCORPHHUNW,MZDHS1997431010,1997,DHS,573,,,,1
MOZ,Maputo Cidade,201926,Number of households (unweighted),788,0,MZ,Mozambique,1997,MZ1997DHS,HC_ORPH_H_UNW,260861060,U,431011,1431011,Region,Maputo Cidade,0,,0,1,HCORPHHUNW,MZDHS1997431011,1997,DHS,433,,,,1
MOZ,Niassa,7696854,Children living with both parents,58.1,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431001,1431001,Region,Niassa,0,,0,1,HCLVARCBTH,MZDHS1997431001,1997,DHS,1074,1780,,,1
MOZ,Cabo Delgado,5647064,Children living with both parents,51.7,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431002,1431002,Region,Cabo Delgado,0,,0,1,HCLVARCBTH,MZDHS1997431002,1997,DHS,1219,1402,,,1
MOZ,Nampula,4155986,Children living with both parents,56.9,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431003,1431003,Region,Nampula,0,,0,1,HCLVARCBTH,MZDHS1997431003,1997,DHS,3187,2060,,,1
MOZ,Zambézia,7362869,Children living with both parents,65.5,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431004,1431004,Region,Zambézia,0,,0,1,HCLVARCBTH,MZDHS1997431004,1997,DHS,3223,1797,,,1
MOZ,Tete,3653881,Children living with both parents,63.5,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431005,1431005,Region,Tete,0,,0,1,HCLVARCBTH,MZDHS1997431005,1997,DHS,935,1557,,,1
MOZ,Manica,5185759,Children living with both parents,65.6,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431006,1431006,Region,Manica,0,,0,1,HCLVARCBTH,MZDHS1997431006,1997,DHS,1212,2152,,,1
MOZ,Sofala,7487629,Children living with both parents,73.1,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431007,1431007,Region,Sofala,0,,0,1,HCLVARCBTH,MZDHS1997431007,1997,DHS,2626,2299,,,1
MOZ,Inhambane,5641471,Children living with both parents,44.1,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431008,1431008,Region,Inhambane,0,,0,1,HCLVARCBTH,MZDHS1997431008,1997,DHS,1749,1678,,,1
MOZ,Gaza,6203286,Children living with both parents,60.2,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431009,1431009,Region,Gaza,0,,0,1,HCLVARCBTH,MZDHS1997431009,1997,DHS,1975,1905,,,1
MOZ,Maputo Provincia,4065461,Children living with both parents,42.2,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431010,1431010,Region,Maputo Provincia,0,,0,1,HCLVARCBTH,MZDHS1997431010,1997,DHS,1284,1458,,,1
MOZ,Maputo Cidade,3656484,Children living with both parents,56.6,1,MZ,Mozambique,1997,MZ1997DHS,HC_LVAR_C_BTH,260936010,I,431011,1431011,Region,Maputo Cidade,0,,0,1,HCLVARCBTH,MZDHS1997431011,1997,DHS,1005,1877,,,1
