ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
MOZ,Gaza,4177112,Women who can read a whole sentence,39.8,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDW,231233020,I,431009,1431009,Region,Gaza,0,,0,1,EDLITRWRDW,MZDHS2003431009,2003,DHS,666,1273,,,1
MOZ,Maputo Provincia,6920350,Women who can read a whole sentence,45.9,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDW,231233020,I,431010,1431010,Region,Maputo Provincia,0,,0,1,EDLITRWRDW,MZDHS2003431010,2003,DHS,1050,1125,,,1
MOZ,Maputo Cidade,3871718,Women who can read a whole sentence,40.7,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDW,231233020,I,431011,1431011,Region,Maputo Cidade,0,,0,1,EDLITRWRDW,MZDHS2003431011,2003,DHS,1059,1396,,,1
MOZ,Niassa,6417682,Women who can read part of a sentence,4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431001,1431001,Region,Niassa,0,,0,1,EDLITRWRDP,MZDHS2003431001,2003,DHS,476,819,,,1
MOZ,Cabo Delgado,2993681,Women who can read part of a sentence,4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431002,1431002,Region,Cabo Delgado,0,,0,1,EDLITRWRDP,MZDHS2003431002,2003,DHS,1071,899,,,1
MOZ,Nampula,5994692,Women who can read part of a sentence,5.8,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431003,1431003,Region,Nampula,0,,0,1,EDLITRWRDP,MZDHS2003431003,2003,DHS,2403,1217,,,1
MOZ,Zambézia,1408977,Women who can read part of a sentence,5.9,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431004,1431004,Region,Zambézia,0,,0,1,EDLITRWRDP,MZDHS2003431004,2003,DHS,1906,1135,,,1
MOZ,Tete,5733517,Women who can read part of a sentence,6.1,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431005,1431005,Region,Tete,0,,0,1,EDLITRWRDP,MZDHS2003431005,2003,DHS,1025,1115,,,1
MOZ,Manica,3906037,Women who can read part of a sentence,3.8,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431006,1431006,Region,Manica,0,,0,1,EDLITRWRDP,MZDHS2003431006,2003,DHS,809,1094,,,1
MOZ,Sofala,3188604,Women who can read part of a sentence,6.2,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431007,1431007,Region,Sofala,0,,0,1,EDLITRWRDP,MZDHS2003431007,2003,DHS,865,1220,,,1
MOZ,Inhambane,3512217,Women who can read part of a sentence,8.2,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431008,1431008,Region,Inhambane,0,,0,1,EDLITRWRDP,MZDHS2003431008,2003,DHS,1088,1125,,,1
MOZ,Gaza,4177113,Women who can read part of a sentence,9.1,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431009,1431009,Region,Gaza,0,,0,1,EDLITRWRDP,MZDHS2003431009,2003,DHS,666,1273,,,1
MOZ,Maputo Provincia,6920351,Women who can read part of a sentence,9,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431010,1431010,Region,Maputo Provincia,0,,0,1,EDLITRWRDP,MZDHS2003431010,2003,DHS,1050,1125,,,1
MOZ,Maputo Cidade,3871719,Women who can read part of a sentence,6.7,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_RDP,231233030,I,431011,1431011,Region,Maputo Cidade,0,,0,1,EDLITRWRDP,MZDHS2003431011,2003,DHS,1059,1396,,,1
MOZ,Niassa,6417691,Women who cannot read at all,83.4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431001,1431001,Region,Niassa,0,,0,1,EDLITRWNRD,MZDHS2003431001,2003,DHS,476,819,,,1
MOZ,Cabo Delgado,2993699,Women who cannot read at all,84.5,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431002,1431002,Region,Cabo Delgado,0,,0,1,EDLITRWNRD,MZDHS2003431002,2003,DHS,1071,899,,,1
MOZ,Nampula,5994698,Women who cannot read at all,75.4,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431003,1431003,Region,Nampula,0,,0,1,EDLITRWNRD,MZDHS2003431003,2003,DHS,2403,1217,,,1
MOZ,Zambézia,1408951,Women who cannot read at all,78.1,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431004,1431004,Region,Zambézia,0,,0,1,EDLITRWNRD,MZDHS2003431004,2003,DHS,1906,1135,,,1
MOZ,Tete,5733534,Women who cannot read at all,72.9,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431005,1431005,Region,Tete,0,,0,1,EDLITRWNRD,MZDHS2003431005,2003,DHS,1025,1115,,,1
MOZ,Manica,3906060,Women who cannot read at all,57.8,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431006,1431006,Region,Manica,0,,0,1,EDLITRWNRD,MZDHS2003431006,2003,DHS,809,1094,,,1
MOZ,Sofala,3188638,Women who cannot read at all,66,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431007,1431007,Region,Sofala,0,,0,1,EDLITRWNRD,MZDHS2003431007,2003,DHS,865,1220,,,1
MOZ,Inhambane,3512226,Women who cannot read at all,45.2,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431008,1431008,Region,Inhambane,0,,0,1,EDLITRWNRD,MZDHS2003431008,2003,DHS,1088,1125,,,1
MOZ,Gaza,4177116,Women who cannot read at all,44.7,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431009,1431009,Region,Gaza,0,,0,1,EDLITRWNRD,MZDHS2003431009,2003,DHS,666,1273,,,1
MOZ,Maputo Provincia,6920309,Women who cannot read at all,29.2,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431010,1431010,Region,Maputo Provincia,0,,0,1,EDLITRWNRD,MZDHS2003431010,2003,DHS,1050,1125,,,1
MOZ,Maputo Cidade,3871723,Women who cannot read at all,17.7,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NRD,231233040,I,431011,1431011,Region,Maputo Cidade,0,,0,1,EDLITRWNRD,MZDHS2003431011,2003,DHS,1059,1396,,,1
MOZ,Niassa,6417690,Women for whom no card with required language was available,0,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NCD,231233050,I,431001,1431001,Region,Niassa,0,,0,1,EDLITRWNCD,MZDHS2003431001,2003,DHS,476,819,,,1
MOZ,Cabo Delgado,2993682,Women for whom no card with required language was available,0,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NCD,231233050,I,431002,1431002,Region,Cabo Delgado,0,,0,1,EDLITRWNCD,MZDHS2003431002,2003,DHS,1071,899,,,1
MOZ,Nampula,5994696,Women for whom no card with required language was available,0.5,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NCD,231233050,I,431003,1431003,Region,Nampula,0,,0,1,EDLITRWNCD,MZDHS2003431003,2003,DHS,2403,1217,,,1
MOZ,Zambézia,1408949,Women for whom no card with required language was available,1.6,1,MZ,Mozambique,2003,MZ2003DHS,ED_LITR_W_NCD,231233050,I,431004,1431004,Region,Zambézia,0,,0,1,EDLITRWNCD,MZDHS2003431004,2003,DHS,1906,1135,,,1
