name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,4800,women_childbearing,22626,21.36,2668,2.52
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,adults,139592,32.0,46409,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,elderly,4999,31.99,1662,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,school_age,84582,32.0,28120,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,total,145714,32.0,48444,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,under_5,27642,32.0,9190,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,5400,women_childbearing,33895,32.0,11269,10.64
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,adults,148260,33.99,8668,1.99
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,elderly,5310,33.98,311,1.99
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,school_age,89835,33.99,5253,1.99
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,total,154763,33.99,9049,1.99
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,under_5,29358,33.99,1716,1.99
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,hospitals,TIME,6000,women_childbearing,36000,33.99,2105,1.99
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,adults,7866,5.85,7866,5.85
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,elderly,397,5.83,397,5.83
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,school_age,4471,5.85,4471,5.85
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,total,8328,5.85,8328,5.85
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,under_5,1423,5.85,1423,5.85
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,600,women_childbearing,2049,5.85,2049,5.85
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,adults,15673,11.65,7807,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,elderly,792,11.64,395,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,school_age,8909,11.65,4438,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,total,16594,11.65,8266,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,under_5,2835,11.65,1412,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1200,women_childbearing,4083,11.65,2034,5.8
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,adults,44448,33.03,28775,21.39
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,elderly,2249,33.04,1457,21.4
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,school_age,25266,33.03,16357,21.39
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,total,47060,33.03,30466,21.39
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,under_5,8041,33.03,5206,21.39
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,1800,women_childbearing,11579,33.03,7496,21.38
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,adults,56807,42.22,12359,9.19
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,elderly,2874,42.22,625,9.18
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,school_age,32291,42.22,7025,9.19
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,total,60145,42.22,13085,9.19
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,under_5,10277,42.22,2236,9.19
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,2400,women_childbearing,14799,42.22,3220,9.19
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,adults,72521,53.9,15714,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,elderly,3669,53.9,795,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,school_age,41224,53.9,8933,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,total,76782,53.9,16637,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,under_5,13120,53.9,2843,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3000,women_childbearing,18893,53.9,4094,11.68
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,adults,78382,58.25,5861,4.36
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,elderly,3965,58.25,296,4.35
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,school_age,44555,58.25,3331,4.36
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,total,82988,58.26,6206,4.36
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,under_5,14180,58.25,1060,4.35
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,3600,women_childbearing,20420,58.25,1527,4.36
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,adults,84982,63.16,6600,4.91
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,elderly,4299,63.16,334,4.91
Ancuabe,,85939544B12924931865401,MOZ,ADM2,hospitals,TIME,4200,school_age,48307,63.16,3752,4.91
