id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +icao","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
340245,MZ-0054,small_airport,"Machangulo Airport",-26.20306,32.93819,,AF,Mozambique,MZ,"Maputo Province",MZ-L,L,Matutuine,0,,,,,,,,50,2021-01-26T23:36:16+00:00
318856,MZ-0016,small_airport,"Mbamba Airport",-12.140706,38.318613,,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Mbamba,0,,,,,,,,50,2016-06-17T06:55:33+00:00
318857,MZ-0017,small_airport,"Lugenda Wilderness Camp Airstrip",-12.288658,37.818062,976,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Mbamba,0,,,,,,,,50,2018-12-11T14:53:39+00:00
318854,MZ-0014,small_airport,"Medjumbe Airport",-11.817449,40.602972,,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Medjumbe,0,,,,,,,,50,2022-06-15T00:19:33+00:00
318384,MZ-0003,small_airport,"Metangula Airport",-12.701334,34.803468,1650,AF,Mozambique,MZ,"Niassa Province",MZ-A,A,Metangula,0,,,,,,,,50,2016-06-08T09:13:45+00:00
321446,MZ-0042,small_airport,"Mopeia Airport",-17.977031,35.705003,,AF,Mozambique,MZ,"Zambezia Province",MZ-Q,Q,Mopeia,0,,,,,,,,50,2022-01-05T10:13:55+00:00
319238,MZ-0039,small_airport,"Mucumbura Airport",-16.187755,31.686824,,AF,Mozambique,MZ,"Tete Province",MZ-T,T,Mucumbura,0,,,,,,,,50,2016-06-29T05:11:34+00:00
318851,MZ-0011,small_airport,"Baixo Pinda Airport",-14.210912,40.696848,,AF,Mozambique,MZ,"Nampula Province",MZ-N,N,Nanatha,0,,,,,,,,50,2016-06-17T06:39:39+00:00
316556,NND,small_airport,"Nangade Airport",-11.073,39.68,825,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Nangade,0,,,NND,,,,,50,2015-12-19T14:04:57+00:00
308663,LMZ,small_airport,"Palma Airport",-10.7506,40.4702,177,AF,Mozambique,MZ,"Cabo Delgado Province",MZ-P,P,Palma,0,,,LMZ,,,,,50,2013-05-15T01:35:11+00:00
