name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,5000,total,24309,6.3,24309,6.3
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,10000,school_age,20813,9.68,7255,3.37
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,10000,total,37316,9.68,13007,3.37
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,15000,school_age,33355,15.51,12542,5.83
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,15000,total,59798,15.51,22482,5.83
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,20000,school_age,47072,21.88,13717,6.38
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,20000,total,84391,21.88,24593,6.38
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,25000,school_age,59742,27.77,12670,5.89
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,25000,total,107105,27.77,22714,5.89
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,30000,school_age,76623,35.62,16881,7.85
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,30000,total,137371,35.62,30266,7.85
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,35000,school_age,95968,44.61,19345,8.99
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,35000,total,172054,44.61,34683,8.99
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,40000,school_age,110442,51.34,14474,6.73
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,40000,total,198004,51.34,25950,6.73
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,45000,school_age,118692,55.18,8250,3.84
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,45000,total,212796,55.18,14792,3.84
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,50000,school_age,125018,58.12,6326,2.94
Angonia,,85939544B12573256040215,MOZ,ADM2,education,DISTANCE,50000,total,224137,58.12,11341,2.94
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,5000,school_age,11548,12.49,11548,12.49
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,5000,total,21161,12.49,21161,12.49
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,10000,school_age,21238,22.96,9690,10.48
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,10000,total,38919,22.96,17758,10.48
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,15000,school_age,28497,30.81,7259,7.85
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,15000,total,52222,30.81,13303,7.85
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,20000,school_age,36068,39.0,7571,8.19
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,20000,total,66094,39.0,13872,8.18
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,25000,school_age,43597,47.14,7529,8.14
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,25000,total,79891,47.14,13797,8.14
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,30000,school_age,54913,59.37,11316,12.23
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,30000,total,100628,59.37,20737,12.24
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,35000,school_age,65942,71.3,11029,11.92
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,35000,total,120839,71.3,20211,11.92
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,40000,school_age,68751,74.33,2809,3.04
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,40000,total,125985,74.33,5146,3.04
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,45000,school_age,69458,75.1,707,0.76
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,45000,total,127281,75.1,1296,0.76
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,50000,school_age,69759,75.42,301,0.33
Balama,,85939544B22682737370097,MOZ,ADM2,education,DISTANCE,50000,total,127833,75.42,552,0.33
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,5000,school_age,43826,25.35,43826,25.35
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,5000,total,73765,25.34,73765,25.34
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,10000,school_age,46042,26.63,2216,1.28
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,10000,total,77496,26.63,3731,1.28
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,15000,school_age,54022,31.24,7980,4.61
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,15000,total,90928,31.24,13432,4.61
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,20000,school_age,58228,33.67,4206,2.43
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,20000,total,98007,33.67,7079,2.43
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,25000,school_age,59353,34.32,1125,0.65
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,25000,total,99899,34.32,1892,0.65
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,30000,school_age,60363,34.91,1010,0.58
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,30000,total,101601,34.91,1702,0.58
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,35000,school_age,67990,39.32,7627,4.41
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,35000,total,114437,39.32,12836,4.41
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,40000,school_age,69487,40.19,1497,0.87
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,40000,total,116957,40.18,2520,0.87
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,45000,school_age,73023,42.23,3536,2.04
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,45000,total,122909,42.23,5952,2.05
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,50000,school_age,73537,42.53,514,0.3
Barue,,85939544B78941967379031,MOZ,ADM2,education,DISTANCE,50000,total,123774,42.53,865,0.3
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,20000,school_age,62,0.09,62,0.09
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,20000,total,118,0.09,118,0.09
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,25000,school_age,620,0.92,558,0.83
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,25000,total,1173,0.92,1055,0.83
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,30000,school_age,647,0.96,27,0.04
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,30000,total,1224,0.96,51,0.04
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,35000,school_age,803,1.2,156,0.23
Bilene,,85939544B43586850524471,MOZ,ADM2,education,DISTANCE,35000,total,1519,1.2,295,0.23
